#N   Simpsons           Milne          GSL        error_1         error_2         (A(N)-A(2N))/A(2N)
-------------------------------------
   5 8.83254315477 8.84834488266 8.91126948722 7.872633244881e-02 6.292460455705e-02  2.905176274675e-02
   9 8.897692711034e+00 8.902036014785e+00 8.911269487217e+00 1.357677618323e-02 9.233472432188e-03  1.780165551988e-02
  13 8.907229304393e+00 8.908929442165e+00 8.911269487217e+00 4.040182823854e-03 2.340045052119e-03  1.253971291899e-02
  17 8.909688024135e+00 8.910487711676e+00 8.911269487217e+00 1.581463081525e-03 7.817755414106e-04  9.615314705728e-03
  21 8.910535201666e+00 8.910958524072e+00 8.911269487217e+00 7.342855514416e-04 3.109631448073e-04  7.776871700569e-03
  25 8.910885877724e+00 8.911129649280e+00 8.911269487217e+00 3.836094926957e-04 1.398379372848e-04  6.520971159078e-03
  29 8.911050923611e+00 8.911200538319e+00 8.911269487217e+00 2.185636059728e-04 6.894889763664e-05  5.611019854789e-03
  33 8.911136389734e+00 8.911232947441e+00 8.911269487217e+00 1.330974830616e-04 3.653977649520e-05  4.922366490557e-03
  37 8.911184049688e+00 8.911248959467e+00 8.911269487217e+00 8.543752925938e-05 2.052775008821e-05  4.383477592037e-03
  41 8.911212247832e+00 8.911257384243e+00 8.911269487217e+00 5.723938512148e-05 1.210297403453e-05  3.950504349745e-03
  45 8.911229758887e+00 8.911262054782e+00 8.911269487217e+00 3.972833049914e-05 7.432435410237e-06  3.595126030906e-03
  49 8.911241080831e+00 8.911264761038e+00 8.911269487217e+00 2.840638642176e-05 4.726179341219e-06  3.298259342385e-03
  53 8.911248655223e+00 8.911266389741e+00 8.911269487217e+00 2.083199375846e-05 3.097475932634e-06  3.046587332751e-03
  57 8.911253872824e+00 8.911267402772e+00 8.911269487217e+00 1.561439281339e-05 2.084445274164e-06  2.830539900595e-03
  61 8.911257559130e+00 8.911268051344e+00 8.911269487217e+00 1.192808708872e-05 1.435873249633e-06  2.643065501680e-03
  65 8.911260221866e+00 8.911268477341e+00 8.911269487217e+00 9.265351204490e-06 1.009875745694e-06  2.478855340262e-03
  69 8.911262183161e+00 8.911268763605e+00 8.911269487217e+00 7.304055717583e-06 7.236117234299e-07  2.333837185044e-03
  73 8.911263653060e+00 8.911268959952e+00 8.911269487217e+00 5.834156738160e-06 5.272652394694e-07  2.204835652176e-03
  77 8.911264771886e+00 8.911269097138e+00 8.911269487217e+00 4.715330920391e-06 3.900785916500e-07  2.089338497613e-03
  81 8.911265635439e+00 8.911269194613e+00 8.911269487217e+00 3.851778130226e-06 2.926043247697e-07  1.985332283054e-03
  85 8.911266310409e+00 8.911269264938e+00 8.911269487217e+00 3.176807684468e-06 2.222787056638e-07  1.891184550893e-03
  89 8.911266844048e+00 8.911269316393e+00 8.911269487217e+00 2.643168597771e-06 1.708244710130e-07  1.805557859242e-03
  93 8.911267270373e+00 8.911269354527e+00 8.911269487217e+00 2.216843594027e-06 1.326898786402e-07  1.727346068917e-03
  97 8.911267614234e+00 8.911269383128e+00 8.911269487217e+00 1.872983030893e-06 1.040894694881e-07  1.655626446024e-03
 101 8.911267894027e+00 8.911269404814e+00 8.911269487217e+00 1.593190271265e-06 8.240276549998e-08  1.589623185265e-03
 105 8.911268123539e+00 8.911269421427e+00 8.911269487217e+00 1.363677846200e-06 6.579012534758e-08  1.528679300544e-03
 109 8.911268313222e+00 8.911269434274e+00 8.911269487217e+00 1.173995107351e-06 5.294321780980e-08  1.472234727427e-03
 113 8.911268471080e+00 8.911269444297e+00 8.911269487217e+00 1.016137311183e-06 4.292027355746e-08  1.419809093728e-03
 117 8.911268603304e+00 8.911269452181e+00 8.911269487217e+00 8.839133691652e-07 3.503570589203e-08  1.370988037600e-03
 121 8.911268714726e+00 8.911269458432e+00 8.911269487217e+00 7.724915018770e-07 2.878511828897e-08  1.325412249673e-03
 125 8.911268809148e+00 8.911269463423e+00 8.911269487217e+00 6.780688757146e-07 2.379379537842e-08  1.282768627053e-03
 129 8.911268889588e+00 8.911269467436e+00 8.911269487217e+00 5.976288903753e-07 1.978073882469e-08  1.242783079305e-03
 133 8.911268958456e+00 8.911269470684e+00 8.911269487217e+00 5.287608768612e-07 1.653338799201e-08  1.205214637507e-03
 137 8.911269017692e+00 8.911269473327e+00 8.911269487217e+00 4.695250339637e-07 1.388965742422e-08  1.169850599141e-03
 141 8.911269068867e+00 8.911269475492e+00 8.911269487217e+00 4.183502397836e-07 1.172495522894e-08  1.136502502463e-03
 145 8.911269113261e+00 8.911269477274e+00 8.911269487217e+00 3.739562082217e-07 9.942837664312e-09  1.105002769620e-03
 149 8.911269151923e+00 8.911269478749e+00 8.911269487217e+00 3.352935280532e-07 8.468122203453e-09  1.075201892468e-03
 153 8.911269185720e+00 8.911269479975e+00 8.911269487217e+00 3.014973692927e-07 7.241805377589e-09  1.046966061382e-03
 157 8.911269215366e+00 8.911269481000e+00 8.911269487217e+00 2.718512952526e-07 6.217293346822e-09  1.020175157878e-03
 161 8.911269241458e+00 8.911269481859e+00 8.911269487217e+00 2.457588781368e-07 5.357600585398e-09  9.947210474767e-04
 165 8.911269264496e+00 8.911269482584e+00 8.911269487217e+00 2.227212849704e-07 4.633152528299e-09  9.705061217727e-04
 169 8.911269284898e+00 8.911269483197e+00 8.911269487217e+00 2.023194394241e-07 4.020231259005e-09  9.474420482463e-04
 173 8.911269303017e+00 8.911269483717e+00 8.911269487217e+00 1.841998251706e-07 3.499666334505e-09  9.254486940818e-04
 177 8.911269319154e+00 8.911269484161e+00 8.911269487217e+00 1.680629697631e-07 3.055927066953e-09  9.044531964222e-04
 181 8.911269333563e+00 8.911269484541e+00 8.911269487217e+00 1.536542484359e-07 2.676342703012e-09  8.843891562927e-04
 185 8.911269346461e+00 8.911269484866e+00 8.911269487217e+00 1.407563665623e-07 2.350551753239e-09  8.651959374417e-04
 189 8.911269358034e+00 8.911269485147e+00 8.911269487217e+00 1.291832223416e-07 2.070018823019e-09  8.468180544937e-04
 193 8.911269368442e+00 8.911269485389e+00 8.911269487217e+00 1.187749258946e-07 1.827720197412e-09  8.292046374332e-04
 197 8.911269377823e+00 8.911269485599e+00 8.911269487217e+00 1.093936248253e-07 1.617813438770e-09  8.123089615369e-04
 201 8.911269386297e+00 8.911269485782e+00 8.911269487217e+00 1.009201362479e-07 1.435461527421e-09  7.960880335980e-04
 205 8.911269393966e+00 8.911269485940e+00 8.911269487217e+00 9.325110106317e-08 1.276609040701e-09  7.805022267327e-04
 209 8.911269400920e+00 8.911269486079e+00 8.911269487217e+00 8.629661252257e-08 1.137870242474e-09  7.655149572601e-04
 213 8.911269407239e+00 8.911269486201e+00 8.911269487217e+00 7.997828177508e-08 1.016363881945e-09  7.510923980949e-04
 217 8.911269412989e+00 8.911269486307e+00 8.911269487217e+00 7.422756276299e-08 9.097256281621e-10  7.372032239190e-04
 221 8.911269418233e+00 8.911269486401e+00 8.911269487217e+00 6.898437021619e-08 8.158913544776e-10  7.238183841173e-04
 225 8.911269423021e+00 8.911269486484e+00 8.911269487217e+00 6.419589659856e-08 7.331379947573e-10  7.109108999981e-04
 229 8.911269427401e+00 8.911269486557e+00 8.911269487217e+00 5.981567774427e-08 6.600107127497e-10  6.984556833216e-04
 233 8.911269431414e+00 8.911269486622e+00 8.911269487217e+00 5.580261408511e-08 5.952358606010e-10  6.864293735801e-04
 237 8.911269435097e+00 8.911269486679e+00 8.911269487217e+00 5.212044129621e-08 5.377529532780e-10  6.748101917846e-04
 241 8.911269438480e+00 8.911269486730e+00 8.911269487217e+00 4.873693448815e-08 4.866294034400e-10  6.635778088768e-04
 245 8.911269441594e+00 8.911269486776e+00 8.911269487217e+00 4.562351030302e-08 4.410924958620e-10  6.527132270296e-04
 249 8.911269444462e+00 8.911269486817e+00 8.911269487217e+00 4.275471354731e-08 4.004316878081e-10  6.421986724570e-04
 253 8.911269447109e+00 8.911269486853e+00 8.911269487217e+00 4.010782994612e-08 3.640749923761e-10  6.320174983852e-04
 257 8.911269449554e+00 8.911269486885e+00 8.911269487217e+00 3.766259659699e-08 3.315250296509e-10  6.221540971337e-04
